country_code,city_code,city_name,time_zone
US,AXB,Alexandria Bay,America/New_York
US,MYU,Mekoryuk,America/Anchorage
US,ISS,Wiscasset,America/New_York
US,RGR,Ranger,America/Chicago
US,GAM,Gambell,America/Nome
US,NNK,Naknek,America/Anchorage
US,AKB,Atka,America/Adak
US,ROA,Roanoke,America/New_York
US,ODC,Oakdale,America/Los_Angeles
US,SWW,Sweetwater,America/Chicago
US,FOX,Fox,America/Anchorage
US,POF,Poplar Bluff,America/Chicago
US,WMC,Winnemucca,America/Los_Angeles
US,BDY,Bandon,America/Los_Angeles
US,OCF,Ocala,America/New_York
US,KLS,Kelso,America/Los_Angeles
US,BKX,Brookings,America/Chicago
US,DEN,Denver,America/Denver
US,KEK,Ekwok,America/Anchorage
US,KKI,Akiachak,America/Anchorage
US,RDB,Red Dog,America/Anchorage
US,NFL,Fallon,America/Los_Angeles
US,HNH,Hoonah,America/Juneau
US,PPA,Pampa,America/Chicago
US,GLD,Goodland,America/Denver
US,JAC,Jackson,America/Denver
US,TWD,Port Townsend,America/Los_Angeles
US,AAF,Apalachicola,America/New_York
US,KMO,Manokotak,America/Anchorage
US,BKD,Breckenridge,America/Chicago
US,VKW,West Kavik,America/Anchorage
US,TWA,Twin Hills,America/Anchorage
US,PIR,Pierre,America/Chicago
US,BYH,Blytheville,America/Chicago
US,PUB,Pueblo,America/Denver
US,AKI,Akiak,America/Anchorage
US,BBX,Blue Bell,America/New_York
US,LNR,Lone Rock,America/Chicago
US,LUL,Laurel,America/Chicago
US,WOO,Woodchopper,America/Anchorage
US,LWC,Lawrence,America/Chicago
US,CYS,Cheyenne,America/Denver
US,PHF,Newport News,America/New_York
US,CSE,Crested Butte,America/Denver
US,TLA,Teller,America/Anchorage
US,CZK,Cascade Locks,America/Los_Angeles
US,RCP,Cinder River,America/Anchorage
US,DRG,Deering,America/Nome
US,GEG,Spokane,America/Los_Angeles
US,FLJ,Falls Bay,America/Anchorage
US,JOT,Joliet,America/Chicago
US,CAR,Caribou,America/New_York
US,HBR,Hobart,America/Chicago
US,OTM,Ottumwa,America/Chicago
US,LKS,Lakeside,America/Chicago
US,OCN,Oceanside,America/Los_Angeles
US,CWI,Clinton,America/Chicago
US,BHB,Bar Harbor,America/New_York
US,ENA,Kenai,America/Anchorage
US,KKL,Karluk Lake,America/Anchorage
US,VEE,Venetie,America/Anchorage
US,KGX,Grayling,America/Anchorage
US,ORI,Port Lions,America/Anchorage
US,PAE,Everett,America/Los_Angeles
US,HKB,Healy Lake,America/Anchorage
US,RSP,Raspberry Strait,America/Anchorage
US,IMM,Immokalee,America/New_York
US,OCW,Washington,America/New_York
US,MPV,Montpelier,America/New_York
US,APN,Alpena,America/Detroit
US,ERI,Erie,America/New_York
US,UES,Waukesha,America/Chicago
US,OSB,Osage Beach,America/Chicago
US,VRS,Versailles,America/Chicago
US,TLJ,Tatalina,America/Anchorage
US,CDS,Childress,America/Chicago
US,TAD,Trinidad,America/Denver
US,FIL,Fillmore,America/Denver
US,KKK,Kalakaket,America/Anchorage
US,OWK,Norridgewock,America/New_York
US,SCM,Scammon Bay,America/Anchorage
US,MRY,Monterey,America/Los_Angeles
US,CDV,Cordova,America/Anchorage
US,CXF,Coldfoot,America/Anchorage
US,BWL,Blackwell,America/Chicago
US,CAO,Clayton,America/Denver
US,OLV,Olive Branch,America/Chicago
US,BNO,Burns,America/Los_Angeles
US,MZZ,Marion,America/Indiana/Indianapolis
US,KPR,Port Williams,America/Anchorage
US,NTU,Oceana,America/New_York
US,PMB,Pembina,America/Chicago
US,NVD,Nevada,America/Chicago
US,OIC,Norwich,America/New_York
US,SKK,Shaktoolik,America/Anchorage
US,SMX,Santa Maria,America/Los_Angeles
US,GRM,Grand Marais,America/Chicago
US,OZA,Ozona,America/Chicago
US,GWO,Greenwood,America/Chicago
US,LTS,Altus,America/Chicago
US,LNK,Lincoln,America/Chicago
US,ATE,Antlers,America/Chicago
US,CRS,Corsicana,America/Chicago
US,DYL,Doylestown,America/New_York
US,STE,Stevens Point,America/Chicago
US,LRD,Laredo,America/Chicago
US,VCV,Victorville,America/Los_Angeles
US,AHN,Athens,America/New_York
US,PMH,Portsmouth,America/New_York
US,NWH,Newport,America/New_York
US,BTM,Butte,America/Denver
US,BFR,Bedford,America/Indiana/Indianapolis
US,SUA,Stuart,America/New_York
US,EKX,Elizabethtown,America/New_York
US,SSC,Sumter,America/New_York
US,KGK,New Koliganek,America/Anchorage
US,ICL,Clarinda,America/Chicago
US,LSB,Lordsburg,America/Denver
US,RIC,Richmond,America/New_York
US,FYU,Fort Yukon,America/Anchorage
US,SRC,Searcy,America/Chicago
US,CDW,Caldwell,America/New_York
US,RME,Rome,America/New_York
US,TLH,Tallahassee,America/New_York
US,FXM,Flaxman Island,America/Anchorage
US,MIW,Marshalltown,America/Chicago
US,CSQ,Creston,America/Chicago
US,PBF,Pine Bluff,America/Chicago
US,WBQ,Beaver,America/Anchorage
US,EGX,Egegik,America/Anchorage
US,CWG,Callaway Gardens,America/New_York
US,PBG,Plattsburgh,America/New_York
US,ZWV,Glenview,America/Chicago
US,MLJ,Milledgeville,America/New_York
US,ERO,Eldred Rock,America/Juneau
US,LXV,Leadville,America/Denver
US,VJI,Abingdon,America/New_York
US,BTR,Baton Rouge,America/Chicago
US,GBD,Great Bend,America/Chicago
US,MKL,Jackson,America/Chicago
US,TBN,Fort Leonard Wood,America/Chicago
US,HIO,Hillsboro,America/Los_Angeles
US,HVS,Hartsville,America/New_York
US,HUM,Houma,America/Chicago
US,BOW,Bartow,America/New_York
US,SAS,Salton Sea,America/Los_Angeles
US,LIZ,Limestone,America/New_York
US,SIK,Sikeston,America/Chicago
US,HNS,Haines,America/Juneau
US,HPT,Hampton,America/Chicago
US,OAK,Oakland,America/Los_Angeles
US,DIK,Dickinson,America/Boise
US,MXG,Marlborough,America/New_York
US,RKP,Rockport,America/Chicago
US,MAF,Midland,America/Chicago
US,AKP,Anaktuvuk,America/Anchorage
US,ELI,Elim,America/Nome
US,BIS,Bismarck,America/Chicago
US,UKI,Ukiah,America/Los_Angeles
US,KOY,Olga Bay,America/Anchorage
US,CXO,Conroe,America/Chicago
US,LPS,Lopez Island,America/Los_Angeles
US,LLY,Mount Holly,America/New_York
US,TCT,Takotna,America/Anchorage
US,ECS,Newcastle,America/Denver
US,TZC,Caro,America/Detroit
US,OLM,Olympia,America/Los_Angeles
US,FLV,Fort Leavenworth,America/Chicago
US,KAE,Kake,America/Sitka
US,TRT,Tremonton,America/Denver
US,ASL,Marshall,America/Chicago
US,ZSH,Santa Fe,America/Denver
US,SEA,Seattle,America/Los_Angeles
US,GLE,Gainesville,America/Chicago
US,NYG,Quantico,America/New_York
US,HPY,Baytown,America/Chicago
US,ESC,Escanaba,America/Detroit
US,LMS,Louisville,America/Chicago
US,LSR,Lost River,America/Nome
US,AMN,Alma,America/Detroit
US,BVU,Beluga,America/Anchorage
US,FSN,Fort Sheridan,America/Chicago
US,LEM,Lemmon,America/Denver
US,CLE,Cleveland,America/New_York
US,JLH,Arlington Heights,America/Chicago
US,PKF,Park Falls,America/Chicago
US,UMM,Summit,America/Anchorage
US,SLR,Sulphur Springs,America/Chicago
US,HVE,Hanksville,America/Denver
US,SSM,Sault Ste. Marie,America/Detroit
US,VLO,Vallejo,America/Los_Angeles
US,CCA,Fort Chaffee,America/Chicago
US,MCE,Merced,America/Los_Angeles
US,GTG,Grantsburg,America/Chicago
US,PNF,Peterson's Point,America/Anchorage
US,DTH,Death Valley,America/Los_Angeles
US,BWI,Baltimore,America/New_York
